Continent,Country,Year,Month,Air,Sea,Total,Date
AFRICA,Algeria,2018,Jan,18,0,18,2018-01-01
AFRICA,Algeria,2018,Feb,19,0,19,2018-02-01
AFRICA,Algeria,2018,Mar,21,0,21,2018-03-01
AFRICA,Algeria,2018,Apr,16,0,16,2018-04-01
AFRICA,Algeria,2018,May,20,0,20,2018-05-01
AFRICA,Algeria,2018,Jun,22,0,22,2018-06-01
AFRICA,Algeria,2018,Jul,28,0,28,2018-07-01
AFRICA,Algeria,2018,Aug,48,0,48,2018-08-01
AFRICA,Algeria,2018,Sep,31,0,31,2018-09-01
AFRICA,Algeria,2018,Oct,24,0,24,2018-10-01
AFRICA,Algeria,2018,Nov,24,0,24,2018-11-01
AFRICA,Algeria,2018,Dec,31,1,32,2018-12-01
AFRICA,Angola,2018,Jan,27,0,27,2018-01-01
AFRICA,Angola,2018,Feb,53,0,53,2018-02-01
AFRICA,Angola,2018,Mar,67,0,67,2018-03-01
AFRICA,Angola,2018,Apr,71,0,71,2018-04-01
AFRICA,Angola,2018,May,23,0,23,2018-05-01
AFRICA,Angola,2018,Jun,45,0,45,2018-06-01
AFRICA,Angola,2018,Jul,55,0,55,2018-07-01
AFRICA,Angola,2018,Aug,36,0,36,2018-08-01
AFRICA,Angola,2018,Sep,48,0,48,2018-09-01
AFRICA,Angola,2018,Oct,75,0,75,2018-10-01
AFRICA,Angola,2018,Nov,38,0,38,2018-11-01
AFRICA,Angola,2018,Dec,96,3,99,2018-12-01
AFRICA,Benin,2018,Jan,5,0,5,2018-01-01
AFRICA,Benin,2018,Feb,4,0,4,2018-02-01
AFRICA,Benin,2018,Mar,11,0,11,2018-03-01
AFRICA,Benin,2018,Apr,9,0,9,2018-04-01
AFRICA,Benin,2018,May,10,0,10,2018-05-01
AFRICA,Benin,2018,Jun,17,1,18,2018-06-01
AFRICA,Benin,2018,Jul,4,0,4,2018-07-01
AFRICA,Benin,2018,Aug,18,0,18,2018-08-01
AFRICA,Benin,2018,Sep,10,0,10,2018-09-01
AFRICA,Benin,2018,Oct,10,0,10,2018-10-01
AFRICA,Benin,2018,Nov,11,1,12,2018-11-01
AFRICA,Benin,2018,Dec,7,1,8,2018-12-01
AFRICA,Botswana,2018,Jan,35,0,35,2018-01-01
AFRICA,Botswana,2018,Feb,57,0,57,2018-02-01
AFRICA,Botswana,2018,Mar,71,0,71,2018-03-01
AFRICA,Botswana,2018,Apr,71,0,71,2018-04-01
AFRICA,Botswana,2018,May,104,0,104,2018-05-01
AFRICA,Botswana,2018,Jun,56,0,56,2018-06-01
AFRICA,Botswana,2018,Jul,139,0,139,2018-07-01
AFRICA,Botswana,2018,Aug,99,0,99,2018-08-01
AFRICA,Botswana,2018,Sep,121,0,121,2018-09-01
AFRICA,Botswana,2018,Oct,68,0,68,2018-10-01
AFRICA,Botswana,2018,Nov,82,0,82,2018-11-01
AFRICA,Botswana,2018,Dec,154,13,167,2018-12-01
AFRICA,Burundi,2018,Jan,4,0,4,2018-01-01
AFRICA,Burundi,2018,Feb,5,0,5,2018-02-01
AFRICA,Burundi,2018,Mar,10,0,10,2018-03-01
AFRICA,Burundi,2018,Apr,8,0,8,2018-04-01
AFRICA,Burundi,2018,May,6,0,6,2018-05-01
AFRICA,Burundi,2018,Jun,6,0,6,2018-06-01
AFRICA,Burundi,2018,Jul,11,0,11,2018-07-01
AFRICA,Burundi,2018,Aug,5,0,5,2018-08-01
AFRICA,Burundi,2018,Sep,12,0,12,2018-09-01
AFRICA,Burundi,2018,Oct,4,0,4,2018-10-01
AFRICA,Burundi,2018,Nov,11,0,11,2018-11-01
AFRICA,Burundi,2018,Dec,2,0,2,2018-12-01
AFRICA,Cameroon,2018,Jan,19,0,19,2018-01-01
AFRICA,Cameroon,2018,Feb,19,2,21,2018-02-01
AFRICA,Cameroon,2018,Mar,16,0,16,2018-03-01
AFRICA,Cameroon,2018,Apr,30,0,30,2018-04-01
AFRICA,Cameroon,2018,May,31,0,31,2018-05-01
AFRICA,Cameroon,2018,Jun,38,0,38,2018-06-01
AFRICA,Cameroon,2018,Jul,49,0,49,2018-07-01
AFRICA,Cameroon,2018,Aug,63,0,63,2018-08-01
AFRICA,Cameroon,2018,Sep,61,0,61,2018-09-01
AFRICA,Cameroon,2018,Oct,31,0,31,2018-10-01
AFRICA,Cameroon,2018,Nov,45,0,45,2018-11-01
AFRICA,Cameroon,2018,Dec,41,0,41,2018-12-01
AFRICA,Comoros,2018,Jan,56,0,56,2018-01-01
AFRICA,Comoros,2018,Feb,95,0,95,2018-02-01
AFRICA,Comoros,2018,Mar,81,0,81,2018-03-01
AFRICA,Comoros,2018,Apr,93,0,93,2018-04-01
AFRICA,Comoros,2018,May,86,0,86,2018-05-01
AFRICA,Comoros,2018,Jun,58,0,58,2018-06-01
AFRICA,Comoros,2018,Jul,74,0,74,2018-07-01
AFRICA,Comoros,2018,Aug,53,0,53,2018-08-01
AFRICA,Comoros,2018,Sep,106,0,106,2018-09-01
AFRICA,Comoros,2018,Oct,72,0,72,2018-10-01
AFRICA,Comoros,2018,Nov,97,0,97,2018-11-01
AFRICA,Comoros,2018,Dec,85,0,85,2018-12-01
AFRICA,Congo,2018,Jan,37,0,37,2018-01-01
AFRICA,Congo,2018,Feb,42,0,42,2018-02-01
AFRICA,Congo,2018,Mar,41,0,41,2018-03-01
AFRICA,Congo,2018,Apr,82,0,82,2018-04-01
AFRICA,Congo,2018,May,52,0,52,2018-05-01
AFRICA,Congo,2018,Jun,37,0,37,2018-06-01
AFRICA,Congo,2018,Jul,46,0,46,2018-07-01
AFRICA,Congo,2018,Aug,65,0,65,2018-08-01
AFRICA,Congo,2018,Sep,37,0,37,2018-09-01
AFRICA,Congo,2018,Oct,42,0,42,2018-10-01
AFRICA,Congo,2018,Nov,43,0,43,2018-11-01
AFRICA,Congo,2018,Dec,79,0,79,2018-12-01
AFRICA,Egypt,2018,Jan,35,0,35,2018-01-01
AFRICA,Egypt,2018,Feb,48,0,48,2018-02-01
AFRICA,Egypt,2018,Mar,50,0,50,2018-03-01
AFRICA,Egypt,2018,Apr,52,0,52,2018-04-01
AFRICA,Egypt,2018,May,62,2,64,2018-05-01
AFRICA,Egypt,2018,Jun,64,0,64,2018-06-01
AFRICA,Egypt,2018,Jul,62,2,64,2018-07-01
AFRICA,Egypt,2018,Aug,84,0,84,2018-08-01
AFRICA,Egypt,2018,Sep,65,0,65,2018-09-01
AFRICA,Egypt,2018,Oct,85,0,85,2018-10-01
AFRICA,Egypt,2018,Nov,103,0,103,2018-11-01
AFRICA,Egypt,2018,Dec,51,0,51,2018-12-01
AFRICA,Ethiopia,2018,Jan,12,0,12,2018-01-01
AFRICA,Ethiopia,2018,Feb,14,0,14,2018-02-01
AFRICA,Ethiopia,2018,Mar,18,0,18,2018-03-01
AFRICA,Ethiopia,2018,Apr,21,0,21,2018-04-01
AFRICA,Ethiopia,2018,May,80,0,80,2018-05-01
AFRICA,Ethiopia,2018,Jun,29,0,29,2018-06-01
AFRICA,Ethiopia,2018,Jul,21,0,21,2018-07-01
AFRICA,Ethiopia,2018,Aug,13,0,13,2018-08-01
AFRICA,Ethiopia,2018,Sep,29,0,29,2018-09-01
AFRICA,Ethiopia,2018,Oct,20,0,20,2018-10-01
AFRICA,Ethiopia,2018,Nov,18,1,19,2018-11-01
AFRICA,Ethiopia,2018,Dec,33,0,33,2018-12-01
AFRICA,Gabon,2018,Jan,6,0,6,2018-01-01
AFRICA,Gabon,2018,Feb,10,0,10,2018-02-01
AFRICA,Gabon,2018,Mar,12,0,12,2018-03-01
AFRICA,Gabon,2018,Apr,17,0,17,2018-04-01
AFRICA,Gabon,2018,May,13,0,13,2018-05-01
AFRICA,Gabon,2018,Jun,21,0,21,2018-06-01
