Country of disembarkation,Year,Arrivals
 Australia,1983,1120
 Australia,1984,1110
 Australia,1985,1090
 Australia,1986,1470
 Australia,1987,2000
 Australia,1988,1530
 Australia,1989,100
 Australia,1990,1260
 Australia,1991,1360
 Australia,1992,1800
 Australia,1993,1770
 Australia,1994,3012
 Australia,1995,2817
 Australia,1996,3799
 Australia,1997,3610
 Australia,1998,3326
 Australia,1999,3813
 Australia,2000,4696
 Australia,2001,4525
 Australia,2002,4705
 Australia,2003,5250
 Australia,2004,6760
 Australia,2005,7000
 Australia,2006,7904
 Australia,2007,9980
 Australia,2008,13310
 Australia,2009,8514
 Australia,2010,8690
 Australia,2011,9534
 Australia,2012,9251
 Australia,2013,7982
 Australia,2014,7281
 Australia,2015,8040
 Australia,2016,8019
 Australia,2017,8411
 Australia,2018,8848
 Australia,2019,8362
 Australia,2020,2042
 Australia,2021,n.ap
 Australia,2022,2412
 Australia,2023,9262
 Australia,2024,9214
 Australia,2025,9606
 Belgium,1983,150
 Belgium,1984,130
 Belgium,1985,160
 Belgium,1986,350
 Belgium,1987,270
 Belgium,1988,220
 Belgium,1989,20
 Belgium,1990,360
 Belgium,1991,370
 Belgium,1992,620
 Belgium,1993,600
 Belgium,1994,507
 Belgium,1995,584
 Belgium,1996,638
 Belgium,1997,763
 Belgium,1998,546
 Belgium,1999,992
 Belgium,2000,1923
 Belgium,2001,613
 Belgium,2002,561
 Belgium,2003,1103
 Belgium,2004,205
 Belgium,2005,26
 Belgium,2006,20
 Belgium,2007,88
 Belgium,2008,63
 Belgium,2009,3
 Belgium,2010,n.ap
 Belgium,2011,n.ap
 Belgium,2012,n.ap
 Belgium,2013,n.ap
 Belgium,2014,n.ap
 Belgium,2015,n.ap
 Belgium,2016,n.ap
 Belgium,2017,n.ap
 Belgium,2018,n.ap
 Belgium,2019,n.ap
 Belgium,2020,n.ap
 Belgium,2021,184
 Belgium,2022,2369
 Belgium,2023,1559
 Belgium,2024,n.ap
 Belgium,2025,n.ap
 Canada,1983,280
 Canada,1984,170
 Canada,1985,170
 Canada,1986,130
 Canada,1987,320
 Canada,1988,190
 Canada,1989,0
 Canada,1990,460
 Canada,1991,430
 Canada,1992,350
 Canada,1993,520
 Canada,1994,281
 Canada,1995,223
 Canada,1996,124
 Canada,1997,202
 Canada,1998,94
 Canada,1999,117
 Canada,2000,111
 Canada,2001,64
 Canada,2002,73
 Canada,2003,47
 Canada,2004,73
 Canada,2005,58
 Canada,2006,24
 Canada,2007,14
 Canada,2008,29
 Canada,2009,2
 Canada,2010,n.ap
 Canada,2011,n.ap
 Canada,2012,n.ap
 Canada,2013,n.ap
 Canada,2014,n.ap
 Canada,2015,n.ap
 Canada,2016,n.ap
 Canada,2017,n.ap
 Canada,2018,n.ap
 Canada,2019,n.ap
 Canada,2020,n.ap
 Canada,2021,n.ap
 Canada,2022,n.ap
 Canada,2023,n.ap
 Canada,2024,n.ap
 Canada,2025,n.ap
 France,1983,3620
 France,1984,4270
 France,1985,4130
 France,1986,4110
 France,1987,4040
 France,1988,5390
 France,1989,8320
 France,1990,7820
 France,1991,6570
 France,1992,6610
 France,1993,6410
 France,1994,16389
 France,1995,15765
 France,1996,18240
 France,1997,19672
 France,1998,17783
 France,1999,22415
 France,2000,24103
 France,2001,24159
 France,2002,25168
 France,2003,25396
 France,2004,27021
 France,2005,26840
 France,2006,30299
 France,2007,32118
 France,2008,34341
 France,2009,29992
 France,2010,29577
 France,2011,29631
 France,2012,35939
 France,2013,32180
 France,2014,29280
 France,2015,31752
 France,2016,31546
 France,2017,29268
 France,2018,28925
 France,2019,29683
 France,2020,8814
 France,2021,13540
 France,2022,36667
 France,2023,41187
 France,2024,35884
 France,2025,36546
 Germany,1983,900
 Germany,1984,1000
 Germany,1985,1320
 Germany,1986,1000
 Germany,1987,1560
 Germany,1988,1220
 Germany,1989,2280
 Germany,1990,1140
 Germany,1991,870
 Germany,1992,910
 Germany,1993,870
 Germany,1994,1710
 Germany,1995,1635
 Germany,1996,1557
 Germany,1997,1396
 Germany,1998,1607
 Germany,1999,1693
 Germany,2000,2172
 Germany,2001,2198
 Germany,2002,2134
 Germany,2003,3263
 Germany,2004,3166
 Germany,2005,2121
 Germany,2006,2151
 Germany,2007,2888
 Germany,2008,3151
 Germany,2009,2204
 Germany,2010,2532
 Germany,2011,2337
 Germany,2012,3428
 Germany,2013,1944
 Germany,2014,1639
 Germany,2015,1544
 Germany,2016,2440
 Germany,2017,3334
 Germany,2018,3904
 Germany,2019,3265
 Germany,2020,647
 Germany,2021,369
 Germany,2022,2660
 Germany,2023,3838
 Germany,2024,6276
 Germany,2025,5738
 Hong Kong SAR 3,1983,550
 Hong Kong SAR 3,1984,720
 Hong Kong SAR 3,1985,740
 Hong Kong SAR 3,1986,630
 Hong Kong SAR 3,1987,800
 Hong Kong SAR 3,1988,520
 Hong Kong SAR 3,1989,400
 Hong Kong SAR 3,1990,1460
 Hong Kong SAR 3,1991,1540
 Hong Kong SAR 3,1992,2440
 Hong Kong SAR 3,1993,2530
 Hong Kong SAR 3,1994,2375
 Hong Kong SAR 3,1995,2435
 Hong Kong SAR 3,1996,3039
 Hong Kong SAR 3,1997,2984
 Hong Kong SAR 3,1998,1931
 Hong Kong SAR 3,1999,2465
 Hong Kong SAR 3,2000,3966
 Hong Kong SAR 3,2001,5624
 Hong Kong SAR 3,2002,7304
 Hong Kong SAR 3,2003,3898
 Hong Kong SAR 3,2004,7117
 Hong Kong SAR 3,2005,9746
 Hong Kong SAR 3,2006,10379
 Hong Kong SAR 3,2007,11875
 Hong Kong SAR 3,2008,11773
 Hong Kong SAR 3,2009,11363
 Hong Kong SAR 3,2010,13840
 Hong Kong SAR 3,2011,11628
 Hong Kong SAR 3,2012,8359
 Hong Kong SAR 3,2013,7286
 Hong Kong SAR 3,2014,5198
 Hong Kong SAR 3,2015,4940
 Hong Kong SAR 3,2016,4596
 Hong Kong SAR 3,2017,4807
 Hong Kong SAR 3,2018,5090
 Hong Kong SAR 3,2019,5874
 Hong Kong SAR 3,2020,307
 Hong Kong SAR 3,2021,n.ap
 Hong Kong SAR 3,2022,n.ap
 Hong Kong SAR 3,2023,n.ap
 Hong Kong SAR 3,2024,n.ap
 Hong Kong SAR 3,2025,n.ap
 India,1983,2520
 India,1984,2400
 India,1985,2460
 India,1986,2270
 India,1987,2300
 India,1988,2670
 India,1989,3660
 India,1990,4740
 India,1991,4910
 India,1992,7280
 India,1993,6640
 India,1994,8326
 India,1995,9956
 India,1996,11141
 India,1997,12987
 India,1998,12809
 India,1999,13392
 India,2000,14376
 India,2001,15181
 India,2002,13768
 India,2003,14792
 India,2004,18405
 India,2005,17979
 India,2006,19321
 India,2007,21190
 India,2008,19210
 India,2009,17577
 India,2010,21447
 India,2011,21825
 India,2012,24393
 India,2013,22531
 India,2014,19436
 India,2015,19001
 India,2016,20848
 India,2017,22493
 India,2018,26607
 India,2019,31232
 India,2020,7320
 India,2021,2087
 India,2022,18187
 India,2023,31260
 India,2024,39354
 India,2025,53860
 Italy,1983,640
 Italy,1984,600
 Italy,1985,400
 Italy,1986,540
 Italy,1987,950
 Italy,1988,1460
 Italy,1989,650
 Italy,1990,1650
 Italy,1991,1740
 Italy,1992,1420
 Italy,1993,1630
 Italy,1994,1795
 Italy,1995,1778
 Italy,1996,2014
 Italy,1997,3149
 Italy,1998,2630
 Italy,1999,2808
 Italy,2000,3395
 Italy,2001,3057
 Italy,2002,3076
 Italy,2003,3088
 Italy,2004,3127
 Italy,2005,3643
 Italy,2006,3464
 Italy,2007,4404
 Italy,2008,4681
 Italy,2009,5009
 Italy,2010,5994
 Italy,2011,6315
 Italy,2012,2876
 Italy,2013,2507
 Italy,2014,2359
 Italy,2015,1595
 Italy,2016,1365
 Italy,2017,1873
 Italy,2018,856
 Italy,2019,890
 Italy,2020,576
 Italy,2021,n.ap
 Italy,2022,14
 Italy,2023,301
 Italy,2024,172
 Italy,2025,462
 Kenya,1983,n.ap
 Kenya,1984,n.ap
 Kenya,1985,n.ap
 Kenya,1986,n.ap
 Kenya,1987,n.ap
 Kenya,1988,n.ap
 Kenya,1989,n.ap
 Kenya,1990,n.ap
 Kenya,1991,n.ap
 Kenya,1992,n.ap
 Kenya,1993,n.ap
 Kenya,1994,n.ap
 Kenya,1995,n.ap
 Kenya,1996,n.ap
 Kenya,1997,n.ap
 Kenya,1998,n.ap
 Kenya,1999,n.ap
 Kenya,2000,n.ap
 Kenya,2001,n.ap
 Kenya,2002,n.ap
 Kenya,2003,n.ap
 Kenya,2004,n.ap
 Kenya,2005,n.ap
 Kenya,2006,n.ap
 Kenya,2007,n.ap
 Kenya,2008,n.ap
 Kenya,2009,n.ap
 Kenya,2010,n.ap
 Kenya,2011,n.ap
 Kenya,2012,n.ap
 Kenya,2013,2754
 Kenya,2014,2497
 Kenya,2015,2731
 Kenya,2016,2776
 Kenya,2017,2514
 Kenya,2018,4205
 Kenya,2019,8807
 Kenya,2020,1491
 Kenya,2021,741
 Kenya,2022,7071
 Kenya,2023,8444
 Kenya,2024,7157
 Kenya,2025,7999
 Malagasy Republic,1983,n.ap
 Malagasy Republic,1984,n.ap
 Malagasy Republic,1985,n.ap
 Malagasy Republic,1986,n.ap
 Malagasy Republic,1987,n.ap
 Malagasy Republic,1988,n.ap
 Malagasy Republic,1989,n.ap
 Malagasy Republic,1990,n.ap
 Malagasy Republic,1991,n.ap
 Malagasy Republic,1992,n.ap
 Malagasy Republic,1993,n.ap
 Malagasy Republic,1994,n.ap
 Malagasy Republic,1995,2201
 Malagasy Republic,1996,2425
 Malagasy Republic,1997,3163
 Malagasy Republic,1998,4224
 Malagasy Republic,1999,5130
 Malagasy Republic,2000,6187
 Malagasy Republic,2001,6518
 Malagasy Republic,2002,2928
 Malagasy Republic,2003,4743
 Malagasy Republic,2004,5794
 Malagasy Republic,2005,7710
 Malagasy Republic,2006,7154
 Malagasy Republic,2007,9499
 Malagasy Republic,2008,9074
 Malagasy Republic,2009,6822
 Malagasy Republic,2010,7814
 Malagasy Republic,2011,8894
 Malagasy Republic,2012,10073
 Malagasy Republic,2013,9051
 Malagasy Republic,2014,8662
 Malagasy Republic,2015,8698
 Malagasy Republic,2016,9378
 Malagasy Republic,2017,8418
 Malagasy Republic,2018,8833
 Malagasy Republic,2019,10701
 Malagasy Republic,2020,2441
 Malagasy Republic,2021,479
 Malagasy Republic,2022,6824
 Malagasy Republic,2023,10072
 Malagasy Republic,2024,10945
 Malagasy Republic,2025,11822
 Malaysia,1983,n.ap
 Malaysia,1984,n.ap
 Malaysia,1985,n.ap
 Malaysia,1986,n.ap
 Malaysia,1987,n.ap
 Malaysia,1988,n.ap
 Malaysia,1989,n.ap
 Malaysia,1990,n.ap
 Malaysia,1991,n.ap
 Malaysia,1992,n.ap
 Malaysia,1993,n.ap
 Malaysia,1994,n.ap
 Malaysia,1995,466
 Malaysia,1996,812
 Malaysia,1997,671
 Malaysia,1998,1853
